kanji;hiragana;meaning;pos;jlpt;sentenceEN;sentenceJP;meaning2;pos2;meaning3;pos3;meaning4;pos4;ref1;ref2;ref3
後ろ指を指される;うしろゆびをさされる;to be talked about behind one's back;exp, v1;0;;;;;;;;;;;
後ろカゴ;うしろカゴ;rear basket (e.g. on a bicycle);n;0;;;;;;;;;;;
あなた;あなた;you;pn;5;Is the book yours?;あなたの<ruby>本<rt>ほん</rt></ruby>？;you;pn;dear, honey;pn;;;あなた方;あなた任せ;あなた達
あなた方;あなたがた;you (plural);pn;0;;;;;;;;;;;
あなた任せ;あなたまかせ;leaving (a matter) to others;n;0;;;;;;;;;;;
あなた達;あなたたち;you (plural);pn;0;;;;;;;;;;;
兄;あに;(my) older brother (humble);n;5;Do you have any sisters?;<ruby>女<rt>おんな</rt></ruby><ruby>兄弟<rt>きょうだい</rt></ruby>はいる？;older brother, elder brother;n;brother-in-law (spouse's older brother or older sister's husband);n;;;兄弟牆に鬩ぐ;兄妹喧嘩;兄たり難く弟たり難し
兄弟牆に鬩ぐ;けいていかきにせめぐ;to quarrel among friends (or siblings);exp, v5g;0;;;;;;;;;;;
兄妹喧嘩;きょうだいげんか;quarrel between siblings;n, vs;0;;;;;;;;;;;
兄たり難く弟たり難し;けいたりがたくていたりがたし;both people are superb in skill (and thus it is hard to rank them);exp;0;;;;;;;;;;;
姉;あね;(my) older sister (humble);n;5;I don't have an older sister.;<ruby>姉<rt>あね</rt></ruby>はいない。;older sister, elder sister;n;;;;;姉様人形;姉妹喧嘩;姉さんかぶり
姉様人形;あねさまにんぎょう;paper doll modeled after a kimono-clad woman;n;0;;;;;;;;;;;
姉妹喧嘩;きょうだいげんか;quarrel between sisters;n, vs;0;;;;;;;;;;;
姉さんかぶり;あねさんかぶり;style of wrapping hair with a towel (worn by women while working);n;0;;;;;;;;;;;
アパート;アパート;apartment (abbr.);n;5;This is a great apartment.;いい<ruby>アパート<rt>あぱーと</rt></ruby>ね。;apartment building, apartment block, apartment house;n;apartment;n;;;アパートメントハウス;アパート荒らし;アパートメント
アパートメントハウス;アパートメントハウス;apartment house;n;0;;;;;;;;;;;
アパート荒らし;アパートあらし;apartment house robbery (robber);n;0;;;;;;;;;;;
アパートメント;アパートメント;apartment;n;0;;;;;;;;;;;
