kanji;hiragana;meaning;pos;jlpt;sentenceEN;sentenceJP;meaning2;pos2;meaning3;pos3;meaning4;pos4;ref1;ref2;ref3
灰皿;はいざら;ashtray;n;5;I need an ashtray.;<ruby>灰皿<rt>はいざら</rt></ruby>を<ruby>下<rt>くだ</rt></ruby>さい。;ashtray;n;;;;;;;
入る;はいる;to enter, to contain, to hold;v5r, vi;5;;;to enter, to come in, to go in, to get in, to arrive;v5r, vi;to join (a club, company, etc.), to enter (a university, the army, etc.), to enroll (in), to go into (e.g. politics), to get into;v5r, vi;to be contained (in), to be included (in), to be inside (e.g. a box), to come under (a heading), to belong (in a category);v5r, vi;入るを量りて出ずるを制す;聞き入る;染み入る
入るを量りて出ずるを制す;いるをはかりていずるをせいす;cut your coat according to your cloth;exp, v5s;0;;;;;;;;;;;
聞き入る;ききいる;to listen attentively to;v5r, vi;0;;;;;;;;;;;
染み入る;しみいる;to soak into;v5r, vi;0;;;;;;;;;;;
葉書;はがき;postcard;n;5;Send me a postcard.;<ruby>葉書<rt>はがき</rt></ruby>をおくれ。;postcard;n;memo, note, card;n;;;葉書大;絵葉書;年賀葉書
葉書大;はがきだい;postcard size;n;0;;;;;;;;;;;
絵葉書;えはがき;picture postcard;n;0;;;;;;;;;;;
年賀葉書;ねんがはがき;New Year's postcard;n;0;;;;;;;;;;;
はく;はく;to put on (items below your waist);v5k, vt;5;Spit it out!;<ruby>白状<rt>はくじょう</rt></ruby>しろ！;to sweep, to brush, to clean;v5k, vt;to gather silkworms;v5k, vt;;;剥製;剥奪;剥離
剥製;はくせい;stuffed specimen;n;0;;;;;;;;;;;
剥奪;はくだつ;stripping (of rights, rank, etc.);n, vs, vt;0;;;;;;;;;;;
剥離;はくり;detachment;n, vs, vt, vi;0;;;;;;;;;;;
箱;はこ;box;n;5;There is a box.;<ruby>箱<rt>はこ</rt></ruby>がある。;box, case, chest, package, pack, crate;n;car (of a train, etc.);n;shamisen case, shamisen;n;箱詰め;箱寿司;箱物
箱詰め;はこづめ;packing into a box;n, vs, vt;0;;;;;;;;;;;
箱寿司;はこずし;oshizushi;n;0;;;;;;;;;;;
箱物;はこもの;public building;n;0;;;;;;;;;;;
橋;はし;bridge;n;5;Are we going to cross this bridge?;この<ruby>橋<rt>はし</rt></ruby>を<ruby>渡<rt>わた</rt></ruby>るの？;bridge;n;;;;;橋掛かり;橋かけ;懸け橋
橋掛かり;はしがかり;covered bridge passageway connecting the backstage (mirror room) to the noh stage;n;0;;;;;;;;;;;
橋かけ;はしかけ;bridge-building;n;0;;;;;;;;;;;
懸け橋;かけはし;temporary (suspension) bridge;n;0;;;;;;;;;;;
箸;はし;chopsticks;n;5;I'm not very good with chopsticks.;お<ruby>箸<rt>はし</rt></ruby>が<ruby>苦手<rt>にがて</rt></ruby>なの。;chopsticks;n;;;;;箸が転んでもおかしい年頃;箸にも棒にも引っかからない;箸置き
箸が転んでもおかしい年頃;はしがころんでもおかしいとしごろ;age at which even the slightest things seem funny (esp. said of girls in their late teens);exp, n;0;;;;;;;;;;;
箸にも棒にも引っかからない;はしにもぼうにもひっかからない;hopeless;exp, adj-i;0;;;;;;;;;;;
箸置き;はしおき;chopstick rest;n;0;;;;;;;;;;;
始まる;はじまる;(something) begins;v5r, vi;5;It begins!;<ruby>始<rt>はじ</rt></ruby>まる！;to begin, to start, to commence;v5r, vi;to happen (again), to begin (anew);v5r, vi;to date (from), to originate (in);v5r, vi;千里の行も足下に始まる;;
千里の行も足下に始まる;せんりのこうもそっかにはじまる;a journey of a thousand miles begins with a single step;exp, v5r;0;;;;;;;;;;;
初め, 始め;はじめ;beginning, start;n, adv;5;For the first time, he stood to take a real interest in his studies.;<ruby>初<rt>はじ</rt></ruby>めて、<ruby>彼<rt>かれ</rt></ruby>は<ruby>勉強<rt>べんきょう</rt></ruby>に<ruby>本当<rt>ほんとう</rt></ruby>の<ruby>関心<rt>かんしん</rt></ruby>を<ruby>示<rt>しめ</rt></ruby>し<ruby>始<rt>はじ</rt></ruby>めた。;beginning, start, outset, opening;n, adv;first (in line, etc.);n;origin;n;初めのうち;初めに;初めて
初めのうち;はじめのうち;at first;exp;0;;;;;;;;;;;
初めに;はじめに;first;exp;0;;;;;;;;;;;
初めて;はじめて;for the first time;adv, adj-no;0;;;;;;;;;;;
初めて;はじめて;for the first time;adv, adj-no;5;First time?;<ruby>初<rt>はじ</rt></ruby>めてだろ？;for the first time;adv, adj-no;only after ... is it ..., only when ... do you ..., not until ... do you ...;adv;first time, (one's) first;n;生まれて初めて;になって初めて;
生まれて初めて;うまれてはじめて;for the first time in one's life;exp, adv;0;;;;;;;;;;;
になって初めて;になってはじめて;(it was) not until;exp;0;;;;;;;;;;;
走る;はしる;to run;v5r, vi;5;I run.;<ruby>私<rt>わたし</rt></ruby>は<ruby>走<rt>はし</rt></ruby>る。;to run;v5r, vi;to run (of a vehicle), to drive, to travel, to move, to sail;v5r, vi;to rush (to), to dash, to race;v5r, vi;虫唾が走る;突っ走る;鞘走る
虫唾が走る;むしずがはしる;to be disgusted;exp, v5r;0;;;;;;;;;;;
突っ走る;つっぱしる;to run swiftly;v5r, vi;0;;;;;;;;;;;
鞘走る;さやばしる;to slip out of one's scabbard (of swords);v5r;0;;;;;;;;;;;
バス;バス;bus, bath, bass;n;5;Are you good at basketball?;<ruby>バスケ<rt>ばすけ</rt></ruby><ruby>得意<rt>とくい</rt></ruby>？;bus;n;;;;;バストパッド;バスマスター;バスチェア
バストパッド;バストパッド;bra pad;n;0;;;;;;;;;;;
バスマスター;バスマスター;bus master;n;0;;;;;;;;;;;
バスチェア;バスチェア;bath chair;n;0;;;;;;;;;;;
バター;バター;butter;n;5;Where's the butter?;<ruby>バター<rt>ばたー</rt></ruby>はどこ？;butter;n;;;;;バターピーナッツ;バターソース;バタードチャイルド
バターピーナッツ;バターピーナッツ;shelled skinless peanuts prepared in butter;n;0;;;;;;;;;;;
バターソース;バターソース;butter sauce;n;0;;;;;;;;;;;
バタードチャイルド;バタードチャイルド;battered child (syndrome);n;0;;;;;;;;;;;
二十歳;はたち;20 years old;n;5;Laurie is twenty years old.;<ruby>ローリー<rt>ろーりー</rt></ruby>は<ruby>二十歳<rt>はたち</rt></ruby>だ。;20 years old;n;twenty;n;;;;;
働く;はたらく;to work;v5k, vi;5;We have no alternative but to work.;<ruby>働<rt>はたら</rt></ruby>くしかない。;to work, to labor, to labour;v5k, vi;to function, to operate, to be effective, to work (i.e. ... works), to come into play;v5k, vi;to commit (e.g. a crime), to perpetrate, to do, to act, to practise, to practice;v5k, vi;立ち働く;こつこつ働く;勤め働く
立ち働く;たちはたらく;to be busy at work;v5k, vi;0;;;;;;;;;;;
こつこつ働く;こつこつはたらく;to work hard;exp, v5k;0;;;;;;;;;;;
勤め働く;つとめはたらく;to work diligently;v5k;0;;;;;;;;;;;
八;はち;eight;num;5;He is eighty years old.;<ruby>八十歳<rt>はちじゅうさい</rt></ruby>です。;eight, 8;num;;;;;八箇年;八つ橋;八幡の藪知らず
八箇年;はちかねん;octennial;adj-f;0;;;;;;;;;;;
八つ橋;やつはし;yatsuhashi;n;0;;;;;;;;;;;
八幡の藪知らず;やわたのやぶしらず;Yawata no Yabushirazu (bamboo grove in Chiba, impossible to find one's way out of according to popular legend);exp, n;0;;;;;;;;;;;
二十日;はつか;twenty days, twentieth (day of the month);n;5;Today is Friday, the twentieth of October.;<ruby>今日<rt>こんにち</rt></ruby>は<ruby>金曜日<rt>きんようび</rt></ruby>、<ruby>十月<rt>じゅうがつ</rt></ruby><ruby>二十日<rt>はつか</rt></ruby>だ。;20th day of the month;n;20 days;n;;;二十日鼠;二十日大根;二十日正月
二十日鼠;はつかねずみ;house mouse (Mus musculus);n;0;;;;;;;;;;;
二十日大根;はつかだいこん;radish (Raphanus sativus var. sativus);n;0;;;;;;;;;;;
二十日正月;はつかしょうがつ;twentieth day of the first month (end of New Year celebrations, upon which remaining New Year's food is eaten, decorations are stowed away, etc.);n;0;;;;;;;;;;;
花;はな;flower;n;5;Is the flower real?;<ruby>本物<rt>ほんもの</rt></ruby>の<ruby>花<rt>はな</rt></ruby>？;flower, blossom, bloom, petal;n;cherry blossom;n;beauty;n;花かるた;花びら;花婿
花かるた;はなカルタ;hanafuda;n;0;;;;;;;;;;;
花びら;はなびら;petal;n;0;;;;;;;;;;;
花婿;はなむこ;bridegroom;n;0;;;;;;;;;;;
鼻;はな;nose;n;5;You are talking through the nose.;<ruby>鼻声<rt>はなごえ</rt></ruby>だね。;nose;n;;;;;鼻くそ;鼻衝;鼻をつまむ
鼻くそ;はなくそ;nasal discharge;n;0;;;;;;;;;;;
鼻衝;はなつき;meeting head on;n;0;;;;;;;;;;;
鼻をつまむ;はなをつまむ;to hold one's nose;exp, v5m;0;;;;;;;;;;;
話;はなし;talk (chat), story;n;5;To talk.;<ruby>話<rt>はな</rt></ruby>す。;talk, speech, chat, conversation;n;topic, subject;n;discussions, negotiation, argument;n;話しぶり;話し合う;話し言葉
話しぶり;はなしぶり;way of talking;n;0;;;;;;;;;;;
話し合う;はなしあう;to discuss;v5u, vt;0;;;;;;;;;;;
話し言葉;はなしことば;spoken language;n;0;;;;;;;;;;;
話す;はなす;to speak;v5s, vt;5;To talk.;<ruby>話<rt>はな</rt></ruby>す。;to talk, to speak, to converse, to chat;v5s, vt;to tell, to explain, to narrate, to mention, to describe, to discuss;v5s, vt;to speak (a language);v5s, vt;ほそぼそ話す;事情を話す;腹を割って話す
ほそぼそ話す;ほそぼそはなす;to speak slowly and quietly;v5s;0;;;;;;;;;;;
事情を話す;じじょうをはなす;to explain the situation;exp, v5s;0;;;;;;;;;;;
腹を割って話す;はらをわってはなす;to speak frankly;exp, v5s;0;;;;;;;;;;;
母;はは;(my) mother;n;5;I resemble my mother.;<ruby>母<rt>はは</rt></ruby><ruby>似<rt>じ</rt></ruby>です。;mother;n;;;;;母ザル;親子丼;母屋
母ザル;ははざる;mother monkey;n;0;;;;;;;;;;;
親子丼;おやこどん;oyakodon;n;0;;;;;;;;;;;
母屋;おもや;main building (of a manor);n;0;;;;;;;;;;;
早い;はやい;early;adj-i;5;You are early.;<ruby>早<rt>はや</rt></ruby>いじゃん。;fast, quick, rapid, swift, speedy, brisk, prompt;adj-i;early, soon, earlier than usual;adj-i;premature, too soon, too early;adj-i;早いとこ;早い者勝ち;早いこと
早いとこ;はやいとこ;promptly;exp, adv;0;;;;;;;;;;;
早い者勝ち;はやいものがち;first come, first served;exp;0;;;;;;;;;;;
早いこと;はやいこと;quickly;exp, adv;0;;;;;;;;;;;
速い;はやい;fast, quick;adj-i;5;The car is fast.;<ruby>車<rt>くるま</rt></ruby>は<ruby>速<rt>はや</rt></ruby>いな。;fast, quick, rapid, swift, speedy, brisk, prompt;adj-i;early, soon, earlier than usual;adj-i;premature, too soon, too early;adj-i;素早い;早ければ早いほど良い;足速い
素早い;すばやい;quick;adj-i;0;;;;;;;;;;;
早ければ早いほど良い;はやければはやいほどいい;the sooner, the better;exp;0;;;;;;;;;;;
足速い;あしばやい;swift-footed;adj-i;0;;;;;;;;;;;
春;はる;spring;n, adv;5;In spring, the dawn.;<ruby>春<rt>はる</rt></ruby>は<ruby>曙<rt>あけぼの</rt></ruby>。;spring, springtime;n, adv;New Year;n;prime (of life), height (of one's prosperity), heyday;n;春祭り;春をひさぐ;春物
春祭り;はるまつり;spring festival;n;0;;;;;;;;;;;
春をひさぐ;はるをひさぐ;to engage in prostitution;exp, v5g;0;;;;;;;;;;;
春物;はるもの;spring clothing;n;0;;;;;;;;;;;
貼る;はる;to post, to paste, to attach;v5r, vt;5;;;to stick, to paste, to affix;v5r, vt;to stretch, to spread, to strain, to tighten, to put up (e.g. a tent);v5r, vi, vt;to form (e.g. ice on a pond);v5r, vi;レッテルを貼る;障子貼る;タイルを貼る
レッテルを貼る;レッテルをはる;to label (someone as);exp, v5r;0;;;;;;;;;;;
障子貼る;しょうじはる;to clean and repaper shoji in preparation for winter;v5r, vi;0;;;;;;;;;;;
タイルを貼る;タイルをはる;to tile (floor, wall, etc.);exp, v5r;0;;;;;;;;;;;
晴れ;はれ;clear (sunny) weather;n, adj-no;5;Is it sunny outside?;<ruby>外<rt>そと</rt></ruby>は<ruby>晴<rt>は</rt></ruby>れてる？;clear weather, fine weather;n, adj-no;formal, ceremonial, public;adj-no, n;cleared of suspicion;adj-no, n;晴れ晴れ;晴れ渡る;五月晴れ
晴れ晴れ;はればれ;bright;adv, adv-to, vs;0;;;;;;;;;;;
晴れ渡る;はれわたる;to clear up;v5r, vi;0;;;;;;;;;;;
五月晴れ;さつきばれ;fine weather during the rainy season;n;0;;;;;;;;;;;
晴れる;はれる;to be sunny;v1, vi;5;I think it will be fine.;<ruby>晴<rt>は</rt></ruby>れると<ruby>思<rt>おも</rt></ruby>う。;to clear up, to clear away, to be sunny, to stop raining;v1, vi;to refresh (e.g. spirits);v1, vi;to be cleared (e.g. of a suspicion);v1, vi;疑いが晴れる;気が晴れる;
疑いが晴れる;うたがいがはれる;to be cleared of a charge;exp, v1;0;;;;;;;;;;;
気が晴れる;きがはれる;to feel refreshed;exp, v1;0;;;;;;;;;;;
半;はん;half (e.g., にじはん | half-past two);n-pref, n;5;It's half past four.;4<ruby>時半<rt>じはん</rt></ruby>です。;half, semi-, partial;n-pref, n;half-past;n-suf;odd number;n;半切;半纏;半田ごて
半切;はんせつ;cutting in half;n, vs;0;;;;;;;;;;;
半纏;はんてん;traditional short winter coat resembling a haori without gussets;n;0;;;;;;;;;;;
半田ごて;はんだごて;soldering iron;n;0;;;;;;;;;;;
晩;ばん;evening;n, adv;5;What's for dinner?;<ruby>晩<rt>ばん</rt></ruby>ご<ruby>飯<rt>めし</rt></ruby>は<ruby>何<rt>なに</rt></ruby>？;evening, night;n, adv;dinner, evening meal;n;counter for nights;ctr;晩御飯;奥手;晩飯
晩御飯;ばんごはん;dinner;n;0;;;;;;;;;;;
奥手;おくて;late-growing rice;n;0;;;;;;;;;;;
晩飯;ばんめし;dinner;n;0;;;;;;;;;;;
～番;～ばん;~st, ~th best;n, n-suf;5;Is it my turn?;<ruby>私<rt>わたし</rt></ruby>の<ruby>番<rt>ばん</rt></ruby>？;number (in a series);n, n-suf;(one's) turn;n;watch, guard, lookout;n;番付;番目;番える
番付;ばんづけ;ranked list (entertainers, sumo wrestlers, millionaires, etc.);n;0;;;;;;;;;;;
番目;ばんめ;the nth ...;ctr;0;;;;;;;;;;;
番える;つがえる;to nock (an arrow);v1, vt;0;;;;;;;;;;;
パン;パン;bread;n;5;I bought some bread.;<ruby>パン<rt>ぱん</rt></ruby><ruby>買<rt>か</rt></ruby>ったよ。;bread, (sweet) pastry;n;staff of life, one's bread;n;;;パンこね機;パン焼き機;パンティーストッキング
パンこね機;パンこねき;kneader;n;0;;;;;;;;;;;
パン焼き機;パンやきき;bread baking machine;n;0;;;;;;;;;;;
パンティーストッキング;パンティーストッキング;pantyhose;n;0;;;;;;;;;;;
ハンカチ;ハンカチ;handkerchief;n;5;He wiped his hands on a handkerchief.;<ruby>彼<rt>かれ</rt></ruby>は<ruby>ハンカチ<rt>はんかち</rt></ruby>で<ruby>手<rt>て</rt></ruby>をふいた。;handkerchief;n;;;;;ハンカチ落とし;ハンカチの木;ハンカチーフ
ハンカチ落とし;ハンカチおとし;"""drop the handkerchief"" children's game";n;0;;;;;;;;;;;
ハンカチの木;ハンカチのき;handkerchief tree (Davidia involucrata);exp, n;0;;;;;;;;;;;
ハンカチーフ;ハンカチーフ;handkerchief;n;0;;;;;;;;;;;
番号;ばんごう;number, series of digits;n;5;What's the number?;<ruby>電話番号<rt>でんわばんごう</rt></ruby>、<ruby>何番<rt>なんばん</rt></ruby>？;number, series of digits;n;;;;;携帯番号;ＦＡＸ番号;番号記号
携帯番号;けいたいばんごう;mobile phone number;n;0;;;;;;;;;;;
ＦＡＸ番号;ファックスばんごう;fax number;n;0;;;;;;;;;;;
番号記号;ばんごうきごう;number sign;n;0;;;;;;;;;;;
晩御飯;ばんごはん;dinner, evening meal;n;5;Mother is busy cooking the dinner.;<ruby>母<rt>はは</rt></ruby>は<ruby>晩御飯<rt>ばんごはん</rt></ruby>の<ruby>支度<rt>したく</rt></ruby>で<ruby>忙<rt>いそが</rt></ruby>しい。;dinner, evening meal;n;;;;;;;
半分;はんぶん;half;adv, n;5;Give me half of it.;<ruby>半分<rt>はんぶん</rt></ruby>よこせ。;half;adv, n;;;;;半分こ;半分冗談;面白半分
半分こ;はんぶんこ;halfsies;n, vs, vt;0;;;;;;;;;;;
半分冗談;はんぶんじょうだん;(talking in a) half-joking manner;exp, n;0;;;;;;;;;;;
面白半分;おもしろはんぶん;for fun;adj-na, n;0;;;;;;;;;;;
東;ひがし;east;n;5;I'm at Tokyo Station now.;<ruby>東京駅<rt>とうきょうえき</rt></ruby>なう。;east;n;;;;;東入ル;東京;東亜
東入ル;ひがしいる;east of;exp;0;;;;;;;;;;;
東京;とうきょう;Tokyo;n;0;;;;;;;;;;;
東亜;とうあ;East Asia;n;0;;;;;;;;;;;
～匹;～ひき;counter for small animals;ctr;5;I have 3 cats.;<ruby>猫<rt>ねこ</rt></ruby>が<ruby>三匹<rt>さんびき</rt></ruby>います。;counter for small animals;ctr;counter for rolls of cloth (two han in size);ctr;counter for horses;ctr;三匹のこぶた;匹偶;大山鳴動して鼠一匹
三匹のこぶた;さんぴきのこぶた;The Three Little Pigs (fable);n;0;;;;;;;;;;;
匹偶;ひつぐう;pair;n, vs;0;;;;;;;;;;;
大山鳴動して鼠一匹;たいざんめいどうしてねずみいっぴき;much ado about nothing;exp;0;;;;;;;;;;;
引く;ひく;to pull, to draw, subtract;v5k, vt;5;You'll catch a cold.;<ruby>風邪<rt>かぜ</rt></ruby><ruby>引<rt>ひ</rt></ruby>くよ。;to pull, to tug, to lead (e.g. a horse);v5k, vt;to draw (attention, sympathy, etc.), to attract (e.g. interest);v5k, vt;to draw back (e.g. one's hand), to draw in (one's chin, stomach, etc.), to pull in;v5k, vt;引く手あまた;手ぐすね引く;立て引く
引く手あまた;ひくてあまた;being very popular;n;0;;;;;;;;;;;
手ぐすね引く;てぐすねひく;to be ready and waiting;exp, v5k;0;;;;;;;;;;;
立て引く;たてひく;to compete with each other (e.g. out of pride, obstinacy, etc.);v5k;0;;;;;;;;;;;
弾く;ひく;to play (a string instrument or piano);v5k, vt;5;Do you play the guitar?;<ruby>君<rt>くん</rt></ruby>は<ruby>ギター<rt>ぎたー</rt></ruby><ruby>弾<rt>ひ</rt></ruby>く？;to play (a stringed or keyboard instrument);v5k, vt;;;;;つま弾く;そろばんを弾く;
つま弾く;つまびく;to strum;v5k, vt;0;;;;;;;;;;;
そろばんを弾く;そろばんをはじく;to count on the abacus;exp, v5k;0;;;;;;;;;;;
低い;ひくい;short, low;adj-i;5;I have low blood pressure.;<ruby>血圧<rt>けつあつ</rt></ruby>が<ruby>低<rt>ひく</rt></ruby>いんだ。;low (rank, degree, value, content, quality, etc.);adj-i;low (position), close to the ground;adj-i;short (height);adj-i;低い優先順位;背が低い;背の低い
低い優先順位;ひくいゆうせんじゅんい;low priority (e.g. cell);n;0;;;;;;;;;;;
背が低い;せがひくい;short (of a person);exp, adj-i;0;;;;;;;;;;;
背の低い;せのひくい;short (of a person);exp, adj-i;0;;;;;;;;;;;
飛行機;ひこうき;airplane;n;5;I made a paper plane.;<ruby>紙飛行機<rt>かみひこうき</rt></ruby>だよ。;airplane, aeroplane, plane, aircraft;n;;;;;飛行機雲;飛行機酔い;飛行機恐怖症
飛行機雲;ひこうきぐも;contrail;n;0;;;;;;;;;;;
飛行機酔い;ひこうきよい;airsickness;n;0;;;;;;;;;;;
飛行機恐怖症;ひこうききょうふしょう;fear of flying;n;0;;;;;;;;;;;
左;ひだり;left hand side;n, adj-no;5;Are you left-handed?;<ruby>左利<rt>ひだりき</rt></ruby>きなの？;left, left-hand side;n, adj-no;left hand;n;the left (wing), leftist;n;左利き;左隣;左万字
左利き;ひだりきき;left-handedness;n, adj-no;0;;;;;;;;;;;
左隣;ひだりどなり;neighbour to the left (person, building, etc.);n, adj-no;0;;;;;;;;;;;
左万字;ひだりまんじ;left-facing swastika;n;0;;;;;;;;;;;
人;ひと;man, person;n;5;Are you a morning person?;<ruby>朝型<rt>あさがた</rt></ruby><ruby>人間<rt>にんげん</rt></ruby>？;person, someone, somebody;n;human beings, mankind, man, people, humans;n;human (Homo sapiens);n;人間到る処青山あり;人ごみ;人雪崩
人間到る処青山あり;にんげんいたるところせいざんあり;home is wherever one lays one's hat;exp;0;;;;;;;;;;;
人ごみ;ひとごみ;crowd of people;n;0;;;;;;;;;;;
人雪崩;ひとなだれ;surging crowd;n;0;;;;;;;;;;;
一つ;ひとつ;one thing;num;5;One is blue.;<ruby>一<rt>ひと</rt></ruby>つは<ruby>青<rt>あお</rt></ruby>。;one;num;for one thing;n;only;n;一つずつ;一つ穴のむじな;一つ一つ
一つずつ;ひとつずつ;one by one;adv, adj-no;0;;;;;;;;;;;
一つ穴のむじな;ひとつあなのむじな;gang;exp, n;0;;;;;;;;;;;
一つ一つ;ひとつひとつ;one-by-one;adv, adj-no;0;;;;;;;;;;;
一月;ひとつき;one month;n;5;I met him in January.;<ruby>一月<rt>いちがつ</rt></ruby>に<ruby>彼<rt>かれ</rt></ruby>に<ruby>会<rt>あ</rt></ruby>いました。;one month;n;;;;;１１月;丸一月;十一月革命
１１月;じゅういちがつ;November;n;0;;;;;;;;;;;
丸一月;まるひとつき;the whole month;n;0;;;;;;;;;;;
十一月革命;じゅういちがつかくめい;October Revolution (Russia, 1917);n;0;;;;;;;;;;;
一人;ひとり;one person;n;5;Are you alone?;<ruby>一人<rt>ひとり</rt></ruby>かい？;one person;n;being alone, being by oneself;n;being single, being unmarried;n;一人飯;一人一人;一人前
一人飯;ひとりめし;eating alone;n;0;;;;;;;;;;;
一人一人;ひとりひとり;each (person);adv, n;0;;;;;;;;;;;
一人前;いちにんまえ;one portion;n;0;;;;;;;;;;;
暇;ひま;free time, leisure;n;5;Are you free tomorrow?;<ruby>明日<rt>あした</rt></ruby><ruby>暇<rt>ひま</rt></ruby>？;spare time, free time, leisure;n;time (it takes to do something), time required;n;time off, leave, vacation, holiday;n;暇つぶし;暇がない;暇なとき
暇つぶし;ひまつぶし;killing time;n;0;;;;;;;;;;;
暇がない;ひまがない;busy;exp, adj-i;0;;;;;;;;;;;
暇なとき;ひまなとき;free time;exp, n;0;;;;;;;;;;;
百;ひゃく;hundred;num;5;Scant difference.;<ruby>五十歩百歩<rt>ごじゅっぽひゃっぽ</rt></ruby>。;hundred, 100;num;;;;;ゆりの木;百叩き;百日咳
ゆりの木;ゆりのき;tulip tree (Liriodendron tulipifera);exp, n;0;;;;;;;;;;;
百叩き;ひゃくたたき;a hundred lashes;n;0;;;;;;;;;;;
百日咳;ひゃくにちぜき;whooping cough;n;0;;;;;;;;;;;
病院;びょういん;hospital;n;5;I went to the hospital.;<ruby>病院<rt>びょういん</rt></ruby>に<ruby>行<rt>い</rt></ruby>った。;hospital, clinic, doctor's office, doctor's surgery, infirmary;n;;;;;こども病院;病院船;病院を訪れる
こども病院;こどもびょういん;children's hospital;n;0;;;;;;;;;;;
病院船;びょういんせん;hospital ship;n;0;;;;;;;;;;;
病院を訪れる;びょういんをおとずれる;to visit (someone) in hospital;exp, v1;0;;;;;;;;;;;
病気;びょうき;illness, sickness;n;5;I'm sick.;<ruby>病気<rt>びょうき</rt></ruby>です。;illness (usu. excluding minor ailments, e.g. common cold), disease, sickness;n;bad habit, bad behaviour, weakness, failing;n;crazy, insane, disturbed, sick in the head;adj-no;病気がち;病気にかかる;病気になる
病気がち;びょうきがち;proneness to being ill;n, adj-na, adj-no;0;;;;;;;;;;;
病気にかかる;びょうきにかかる;to contract a disease;exp, v5r;0;;;;;;;;;;;
病気になる;びょうきになる;to fall ill;exp, v5r;0;;;;;;;;;;;
平仮名;ひらがな;hiragana;n;5;I can write hiragana, but I can't yet write katakana.;<ruby>平仮名<rt>ひらがな</rt></ruby>は<ruby>書<rt>か</rt></ruby>けるんだけど、<ruby>片仮名<rt>かたかな</rt></ruby>はまだ<ruby>書<rt>か</rt></ruby>けないんだ。;hiragana, cursive Japanese syllabary used primarily for native Japanese words (esp. function words, inflections, etc.);n;;;;;ひらがな表記;;
ひらがな表記;ひらがなひょうき;representation in hiragana;n;0;;;;;;;;;;;
昼;ひる;noon, daytime;n;5;Why don't you take a nap?;<ruby>昼寝<rt>ひるね</rt></ruby>したら？;noon, midday;n;daytime;n, adv;lunch;n;昼飯;昼ご飯;昼日中
昼飯;ひるめし;lunch;n;0;;;;;;;;;;;
昼ご飯;ひるごはん;lunch;n;0;;;;;;;;;;;
昼日中;ひるひなか;daytime;exp, n, adv;0;;;;;;;;;;;
昼御飯;ひるごはん;lunch, midday meal;n;5;;;lunch, midday meal;n;;;;;;;
広い;ひろい;spacious, wide, broad;adj-i;5;God, this place is huge!;<ruby>広<rt>ひろ</rt></ruby>いな！;spacious, vast, wide;adj-i;;;;;だだっ広い;広い支持;広い額
だだっ広い;だだっぴろい;excessively spacious;adj-i;0;;;;;;;;;;;
広い支持;ひろいしじ;broad support;exp, n;0;;;;;;;;;;;
広い額;ひろいひたい;high brow;exp, n;0;;;;;;;;;;;
フィルム;フィルム;film (roll of);n;5;My film has run out.;<ruby>フィルム<rt>ふぃるむ</rt></ruby>が<ruby>切<rt>き</rt></ruby>れた。;film;n;;;;;フィルムライブラリー;フィルムスキャナ;フィルムネット
フィルムライブラリー;フィルムライブラリー;film library;n;0;;;;;;;;;;;
フィルムスキャナ;フィルムスキャナ;film scanner;n;0;;;;;;;;;;;
フィルムネット;フィルムネット;film net;n;0;;;;;;;;;;;
封筒;ふうとう;envelope;n;5;I need an envelope.;<ruby>封筒<rt>ふうとう</rt></ruby>がいる。;envelope;n;;;;;返信用の封筒;返信用封筒;返信料封筒
返信用の封筒;へんしんようのふうとう;self-addressed stamped envelope;n;0;;;;;;;;;;;
返信用封筒;へんしんようふうとう;self-addressed stamped envelope;n;0;;;;;;;;;;;
返信料封筒;へんしんりょうふうとう;return, postage-paid envelope;n;0;;;;;;;;;;;
プール;プール;swimming pool;n;5;Do you have a pool?;<ruby>プール<rt>ぷーる</rt></ruby>があるの？;(swimming) pool;n;pool (cue sport);n;pooling (money, resources, etc.);n, vs, vt;プールバー;プール制;プール熱
プールバー;プールバー;pool bar;n;0;;;;;;;;;;;
プール制;プールせい;pool system;n;0;;;;;;;;;;;
プール熱;プールねつ;pharyngoconjunctival fever;n;0;;;;;;;;;;;
フォーク;フォーク;fork;n;5;I'd like a fork.;<ruby>フォーク<rt>ふぉーく</rt></ruby>を<ruby>下<rt>くだ</rt></ruby>さい。;fork;n;forkball;n;;;フォークソング;フォークアート;フォークダンス
フォークソング;フォークソング;folk song;n;0;;;;;;;;;;;
フォークアート;フォークアート;folk art;n;0;;;;;;;;;;;
フォークダンス;フォークダンス;folk dance;n;0;;;;;;;;;;;
吹く;ふく;to blow (wind, etc.);v5k, vi;5;The wind blows.;<ruby>風<rt>かぜ</rt></ruby>が<ruby>吹<rt>ふ</rt></ruby>く。;to blow (of the wind);v5k, vi;to blow (one's breath), to breathe out, to blow on (hot tea, candles, etc.), to puff;v5k, vt;to play (a wind instrument), to blow (a whistle, trumpet, etc.), to whistle (a tune);v5k, vt;羹に懲りて膾を吹く;ほら貝を吹く;し吹く
羹に懲りて膾を吹く;あつものにこりてなますをふく;a burnt child dreads the fire;exp, v5k;0;;;;;;;;;;;
ほら貝を吹く;ほらがいをふく;to blow a conch;exp, v5k;0;;;;;;;;;;;
し吹く;しぶく;to splash;v5k, vi;0;;;;;;;;;;;
